,col1,ra,dec,type,u,g,r,i,z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,specobjid,redshift,redshiftErr,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,sii_6717_flux_err,sii_6731_flux_err,oi_6300_flux_err,logMass,logMass_err,Log_NII_on_Halpha,Log_OIII_on_Hbeta,Log_NII_on_Halpha_err,Log_OIII_on_Hbeta_err,Category
758,1318,229.9505029494722,26.328965062789376,3,18.56783,16.805954,15.984046,15.558361,15.266951,0.044722002,0.0051412964,0.004095437,0.003975635,0.009340049,2432038421959567360,0.08496872,1.848415e-05,72.69023,17.340351,13.762345,38.760983,6.686597,7.8180666,4.0469303,3.3408926,2.76667,2.7891033,2.994976,3.0133162,3.0305448,2.554276,11.00717381404013,0.0797114722311605,-0.27308126054852827,-0.10036544341769783,0.0899038249747102,0.2579309408638111,Comp.
759,1319,231.40570857275213,25.84766530513355,3,19.878754,18.450026,17.396332,16.906181,16.595741,0.08237982,0.010336678,0.0073705157,0.007118144,0.01987228,2432097245831653376,0.18798336,2.3601557e-05,62.82458,13.83504,24.574179,60.956818,20.005005,12.52199,8.131523,6.350794,2.519092,2.6447535,4.4889455,3.3891895,4.212827,2.4254746,11.330263534700386,0.0689953111709115,-0.013107305527635142,0.24949859826488943,0.1250671202608554,0.2115091085861436,Liner
760,1320,232.1361922667749,27.68085769551664,3,19.70901,17.933958,17.174755,16.747038,16.435526,0.06282318,0.007275113,0.0059983283,0.0059166225,0.015938671,2080781295473944576,0.07432143,1.5182324e-05,93.765465,24.907618,19.78785,35.05472,19.898172,13.683942,4.119874,2.4534354,1.8069407,1.9310517,1.9208208,1.7550012,1.8564272,1.5011827,10.25412657779413,0.1138132287062009,-0.42729640917983835,-0.09993358689311257,0.060721707680902924,0.1215987156138183,SF
761,1321,228.54044006816252,26.668462075770343,3,19.695251,18.31689,17.81497,17.531384,17.240896,0.07669406,0.009836999,0.010738969,0.0122581,0.035749316,2425196172072216576,0.07220746,1.0335594e-05,93.56602,25.028023,15.612129,26.494019,21.678522,14.980587,2.2219687,2.2736032,2.0868053,2.0320835,1.5947119,1.5839453,1.4233632,1.225237,9.751704809144035,0.1064281995301635,-0.5479703129393074,-0.20496441429394988,0.06491122562462688,0.15457615692395982,SF
762,1322,229.28465583740103,25.42523883376349,3,20.39385,18.294891,17.405012,16.900543,16.581919,0.1357777,0.009229163,0.006819542,0.007075411,0.018131796,2428593108263397376,0.08613443,9.375625e-06,191.32072,29.397167,8.290251,96.54532,23.608355,21.80692,3.194491,3.1675062,2.262684,2.225142,2.4858139,2.20939,2.169364,1.6920539,10.83705232133044,0.0355435671602178,-0.2970307802343106,-0.5497377998656064,0.03061114232080504,0.27922277639114224,SF
763,1325,229.086735193045,27.403168152165417,3,19.615557,18.142408,17.298492,16.839182,16.485298,0.06501586,0.008836502,0.0066831005,0.0067744064,0.014084781,2428677495780829184,0.061863706,1.6684457e-05,72.45425,18.92863,6.191422,25.442171,18.74261,12.847796,2.6231189,2.110959,1.7556777,1.8289449,1.6384188,1.5722941,1.5355625,1.3243443,10.489600484185884,0.0220242804137175,-0.4545096980324132,-0.48532877609119707,0.07068184467528042,0.3096192422168318,SF
764,1329,229.70265755308515,27.43730877844977,3,19.566849,18.52505,17.885468,17.501354,17.285276,0.03452716,0.008351979,0.0068873647,0.006971714,0.017102096,2428722850635474944,0.11880981,7.999236e-06,326.19464,87.219894,94.77485,148.7617,67.136314,52.78008,17.680319,5.3414917,2.9099545,3.3472931,3.6531718,2.6172044,2.7087693,2.185483,10.59271211499578,0.0380558048433454,-0.3409856877858999,0.03607755121048552,0.029516139474333857,0.04858503248060813,Comp.
765,1331,230.1335631126693,26.738359747551343,3,19.228596,17.41795,16.69884,16.252605,15.939947,0.07899542,0.006800935,0.005672425,0.0053992067,0.015363918,2432035673180497920,0.08364163,9.278771e-06,330.008,52.31323,18.475662,219.31577,60.383976,51.094154,15.357041,4.2026544,2.4173737,2.3189838,3.2530656,4.0599036,2.6479084,2.1488862,10.980015383638614,0.0341572580902536,-0.17745460715916733,-0.4520115271834565,0.019549736373831266,0.1337516109404622,Comp.
766,1334,231.30163997556951,26.35202057935692,3,18.052364,16.842644,16.355028,16.048754,15.8582735,0.029827794,0.005937693,0.0055555026,0.006423797,0.01704436,2432087075349096448,0.034011304,9.815055e-06,125.92167,33.12803,23.48152,33.047356,32.10082,23.068453,4.800851,2.4437025,1.9550135,1.9936261,1.626137,1.835428,1.6770946,1.4687442,9.660754456375782,0.1005863160786964,-0.5809637558857857,-0.14946940465231642,0.052894895774178115,0.10339716392157648,SF
767,1339,231.75177690456,27.94071996414214,3,18.506527,17.569784,17.278296,17.014872,16.912506,0.023335725,0.005368154,0.005734282,0.0062113716,0.021384664,2080756556462319616,0.06692285,5.8562614e-06,423.10953,122.25949,149.37175,86.64015,80.72523,53.669556,18.268663,4.85232,3.1366284,3.626819,2.2810307,2.4503708,2.2307062,2.1121755,9.877214195721882,0.0288566177960062,-0.6887336118566767,0.08698588928694312,0.02871698244732691,0.03532345971095562,SF
